SEASON,HOME_TEAM,AWAY_TEAM,HT_SCORE,AW_SCORE,Goles Totales
2016,FK Rostov,Bayern München,3,2,5
2016,Atlético Madrid,PSV Eindhoven,2,0,2
2016,Bayern München,Atlético Madrid,1,0,1
2016,PSV Eindhoven,FK Rostov,0,0,0
2016,Bayer Leverkusen,CSKA Moskva,2,2,4
2016,Tottenham Hotspur,AS Monaco,1,2,3
2016,AS Monaco,Bayer Leverkusen,1,1,2
2016,CSKA Moskva,Tottenham Hotspur,0,1,1
2016,Bayer Leverkusen,Tottenham Hotspur,0,0,0
2016,CSKA Moskva,AS Monaco,1,1,2
2016,AS Monaco,CSKA Moskva,3,0,3
2016,Tottenham Hotspur,Bayer Leverkusen,0,1,1
2016,CSKA Moskva,Bayer Leverkusen,1,1,2
2016,AS Monaco,Tottenham Hotspur,2,1,3
2016,Bayer Leverkusen,AS Monaco,3,0,3
2016,Tottenham Hotspur,CSKA Moskva,3,1,4
2016,Legia Warszawa,Borussia Dortmund,0,6,6
2016,Real Madrid,Sporting CP,2,1,3
2016,Borussia Dortmund,Real Madrid,2,2,4
2016,Sporting CP,Legia Warszawa,2,0,2
2016,Real Madrid,Legia Warszawa,5,1,6
2016,Sporting CP,Borussia Dortmund,1,2,3
2016,Borussia Dortmund,Sporting CP,1,0,1
2016,Legia Warszawa,Real Madrid,3,3,6
2016,Borussia Dortmund,Legia Warszawa,8,4,12
2016,Sporting CP,Real Madrid,1,2,3
2016,Legia Warszawa,Sporting CP,1,0,1
2016,Real Madrid,Borussia Dortmund,2,2,4
2016,Club Brugge KV,Leicester City,0,3,3
2016,FC Porto,FC København,1,1,2
2016,FC København,Club Brugge KV,4,0,4
2016,Leicester City,FC Porto,1,0,1
2016,Club Brugge KV,FC Porto,1,2,3
2016,Leicester City,FC København,1,0,1
2016,FC København,Leicester City,0,0,0
2016,FC Porto,Club Brugge KV,1,0,1
2016,FC København,FC Porto,0,0,0
2016,Leicester City,Club Brugge KV,2,1,3
2016,Club Brugge KV,FC København,0,2,2
2016,FC Porto,Leicester City,5,0,5
2016,Juventus,Sevilla FC,0,0,0
2016,Olympique Lyon,Dinamo Zagreb,3,0,3
2016,Dinamo Zagreb,Juventus,0,4,4
2016,Sevilla FC,Olympique Lyon,1,0,1
2016,Dinamo Zagreb,Sevilla FC,0,1,1
2016,Olympique Lyon,Juventus,0,1,1
2016,Juventus,Olympique Lyon,1,1,2
2016,Sevilla FC,Dinamo Zagreb,4,0,4
2016,Dinamo Zagreb,Olympique Lyon,0,1,1
2016,Sevilla FC,Juventus,1,3,4
2016,Juventus,Dinamo Zagreb,2,0,2
2016,Olympique Lyon,Sevilla FC,0,0,0
2016,SL Benfica,Borussia Dortmund,1,0,1
2016,Paris Saint-Germain,FC Barcelona,4,0,4
2016,Real Madrid,SSC Napoli,3,1,4
2016,Bayern München,Arsenal FC,5,1,6
2016,Manchester City,AS Monaco,5,3,8
2016,Bayer Leverkusen,Atlético Madrid,2,4,6
2016,FC Porto,Juventus,0,2,2
2016,Sevilla FC,Leicester City,2,1,3
2016,SSC Napoli,Real Madrid,1,3,4
2016,Arsenal FC,Bayern München,1,5,6
2016,Borussia Dortmund,SL Benfica,4,0,4
2016,FC Barcelona,Paris Saint-Germain,6,1,7
2016,Juventus,FC Porto,1,0,1
2016,Leicester City,Sevilla FC,2,0,2
2016,AS Monaco,Manchester City,3,1,4
2016,Atlético Madrid,Bayer Leverkusen,0,0,0
2016,Juventus,FC Barcelona,3,0,3
2016,Borussia Dortmund,AS Monaco,2,3,5
2016,Atlético Madrid,Leicester City,1,0,1
2016,Bayern München,Real Madrid,1,2,3
2016,Leicester City,Atlético Madrid,1,1,2
2016,Real Madrid,Bayern München,4,2,6
2016,FC Barcelona,Juventus,0,0,0
2016,AS Monaco,Borussia Dortmund,3,1,4
2016,Real Madrid,Atlético Madrid,3,0,3
2016,AS Monaco,Juventus,0,2,2
2016,Juventus,AS Monaco,2,1,3
2016,Atlético Madrid,Real Madrid,2,1,3
2016,Juventus,Real Madrid,1,4,5
2017,Manchester United,FC Basel,3,0,3
2017,SL Benfica,CSKA Moskva,1,2,3
2017,FC Basel,SL Benfica,5,0,5
2017,CSKA Moskva,Manchester United,1,4,5
2017,SL Benfica,Manchester United,0,1,1
2017,CSKA Moskva,FC Basel,0,2,2
2017,Manchester United,SL Benfica,2,0,2
2017,FC Basel,CSKA Moskva,1,2,3
2017,CSKA Moskva,SL Benfica,2,0,2
2017,FC Basel,Manchester United,1,0,1
2017,SL Benfica,FC Basel,0,2,2
2017,Manchester United,CSKA Moskva,2,1,3
2017,Bayern München,RSC Anderlecht,3,0,3
2017,Celtic FC,Paris Saint-Germain,0,5,5
2017,Paris Saint-Germain,Bayern München,3,0,3
2017,RSC Anderlecht,Celtic FC,0,3,3
2017,RSC Anderlecht,Paris Saint-Germain,0,4,4
2017,Bayern München,Celtic FC,3,0,3
2017,Paris Saint-Germain,RSC Anderlecht,5,0,5
2017,Celtic FC,Bayern München,1,2,3
2017,RSC Anderlecht,Bayern München,1,2,3
2017,Paris Saint-Germain,Celtic FC,7,1,8
2017,Bayern München,Paris Saint-Germain,3,1,4
2017,Celtic FC,RSC Anderlecht,0,1,1
2017,AS Roma,Atlético Madrid,0,0,0
2017,Chelsea FC,Qaraba? FK,6,0,6
2017,Qaraba? FK,AS Roma,1,2,3
2017,Atlético Madrid,Chelsea FC,1,2,3
2017,Qaraba? FK,Atlético Madrid,0,0,0
2017,Chelsea FC,AS Roma,3,3,6
2017,AS Roma,Chelsea FC,3,0,3
2017,Atlético Madrid,Qaraba? FK,1,1,2
2017,Qaraba? FK,Chelsea FC,0,4,4
2017,Atlético Madrid,AS Roma,2,0,2
2017,Chelsea FC,Atlético Madrid,1,1,2
2017,AS Roma,Qaraba? FK,1,0,1
2017,FC Barcelona,Juventus,3,0,3
2017,Olympiakos Piraeus,Sporting CP,2,3,5
2017,Juventus,Olympiakos Piraeus,2,0,2
2017,Sporting CP,FC Barcelona,0,1,1
2017,FC Barcelona,Olympiakos Piraeus,3,1,4
2017,Juventus,Sporting CP,2,1,3
2017,Olympiakos Piraeus,FC Barcelona,0,0,0
2017,Sporting CP,Juventus,1,1,2
2017,Juventus,FC Barcelona,0,0,0
2017,Sporting CP,Olympiakos Piraeus,3,1,4
2017,FC Barcelona,Sporting CP,2,0,2
2017,Olympiakos Piraeus,Juventus,0,2,2
2017,Liverpool FC,Sevilla FC,2,2,4
2017,NK Maribor,Spartak Moskva,1,1,2
2017,Spartak Moskva,Liverpool FC,1,1,2
2017,Sevilla FC,NK Maribor,3,0,3
2017,Spartak Moskva,Sevilla FC,5,1,6
2017,NK Maribor,Liverpool FC,0,7,7
2017,Sevilla FC,Spartak Moskva,2,1,3
2017,Liverpool FC,NK Maribor,3,0,3
2017,Spartak Moskva,NK Maribor,1,1,2
2017,Sevilla FC,Liverpool FC,3,3,6
2017,Liverpool FC,Spartak Moskva,7,0,7
2017,NK Maribor,Sevilla FC,1,1,2
2017,Shakhtar Donetsk,SSC Napoli,2,1,3
2017,Feyenoord,Manchester City,0,4,4
2017,Manchester City,Shakhtar Donetsk,2,0,2
2017,SSC Napoli,Feyenoord,3,1,4
2017,Manchester City,SSC Napoli,2,1,3
2017,Feyenoord,Shakhtar Donetsk,1,2,3
2017,SSC Napoli,Manchester City,2,4,6
2017,Shakhtar Donetsk,Feyenoord,3,1,4
2017,SSC Napoli,Shakhtar Donetsk,3,0,3
2017,Manchester City,Feyenoord,1,0,1
2017,Shakhtar Donetsk,Manchester City,2,1,3
2017,Feyenoord,SSC Napoli,2,1,3
2017,FC Porto,Be?ikta?,1,3,4
2017,RB Leipzig,AS Monaco,1,1,2
2017,AS Monaco,FC Porto,0,3,3
2017,Be?ikta?,RB Leipzig,2,0,2
2017,AS Monaco,Be?ikta?,1,2,3
2017,RB Leipzig,FC Porto,3,2,5
2017,Be?ikta?,AS Monaco,1,1,2
2017,FC Porto,RB Leipzig,3,1,4
2017,Be?ikta?,FC Porto,1,1,2
2017,AS Monaco,RB Leipzig,1,4,5
2017,FC Porto,AS Monaco,5,2,7
2017,RB Leipzig,Be?ikta?,1,2,3
2017,Tottenham Hotspur,Borussia Dortmund,3,1,4
2017,Real Madrid,APOEL Nikosia,3,0,3
2017,Borussia Dortmund,Real Madrid,1,3,4
2017,APOEL Nikosia,Tottenham Hotspur,0,3,3
2017,Real Madrid,Tottenham Hotspur,1,1,2
2017,APOEL Nikosia,Borussia Dortmund,1,1,2
2017,Tottenham Hotspur,Real Madrid,3,1,4
2017,Borussia Dortmund,APOEL Nikosia,1,1,2
2017,Borussia Dortmund,Tottenham Hotspur,1,2,3
2017,APOEL Nikosia,Real Madrid,0,6,6
2017,Real Madrid,Borussia Dortmund,3,2,5
2017,Tottenham Hotspur,APOEL Nikosia,3,0,3
2017,Juventus,Tottenham Hotspur,2,2,4
2017,FC Basel,Manchester City,0,4,4
2017,FC Porto,Liverpool FC,0,5,5
2017,Real Madrid,Paris Saint-Germain,3,1,4
2017,Chelsea FC,FC Barcelona,1,1,2
2017,Bayern München,Be?ikta?,5,0,5
2017,Sevilla FC,Manchester United,0,0,0
2017,Shakhtar Donetsk,AS Roma,2,1,3
2017,Liverpool FC,FC Porto,0,0,0
2017,Paris Saint-Germain,Real Madrid,1,2,3
2017,Tottenham Hotspur,Juventus,1,2,3
2017,Manchester City,FC Basel,1,2,3
2017,Manchester United,Sevilla FC,1,2,3
2017,AS Roma,Shakhtar Donetsk,1,0,1
2017,Be?ikta?,Bayern München,1,3,4
2017,FC Barcelona,Chelsea FC,3,0,3
2017,Sevilla FC,Bayern München,1,2,3
2017,Juventus,Real Madrid,0,3,3
2017,FC Barcelona,AS Roma,4,1,5
2017,Liverpool FC,Manchester City,3,0,3
2017,AS Roma,FC Barcelona,3,0,3
2017,Manchester City,Liverpool FC,1,2,3
2017,Bayern München,Sevilla FC,0,0,0
2017,Real Madrid,Juventus,1,3,4
2017,Liverpool FC,AS Roma,5,2,7
2017,Bayern München,Real Madrid,1,2,3
2017,Real Madrid,Bayern München,2,2,4
2017,AS Roma,Liverpool FC,4,2,6
2017,Real Madrid,Liverpool FC,3,1,4
2018,AS Monaco,Atlético Madrid,1,2,3
2018,Club Brugge KV,Borussia Dortmund,0,1,1
2018,Borussia Dortmund,AS Monaco,3,0,3
2018,Atlético Madrid,Club Brugge KV,3,1,4
2018,Club Brugge KV,AS Monaco,1,1,2
2018,Borussia Dortmund,Atlético Madrid,4,0,4
2018,AS Monaco,Club Brugge KV,0,4,4
2018,Atlético Madrid,Borussia Dortmund,2,0,2
2018,Atlético Madrid,AS Monaco,2,0,2
2018,Borussia Dortmund,Club Brugge KV,0,0,0
2018,AS Monaco,Borussia Dortmund,0,2,2
2018,Club Brugge KV,Atlético Madrid,0,0,0
2018,FC Barcelona,PSV Eindhoven,4,0,4
2018,Inter,Tottenham Hotspur,2,1,3
2018,Tottenham Hotspur,FC Barcelona,2,4,6
2018,PSV Eindhoven,Inter,1,2,3
2018,PSV Eindhoven,Tottenham Hotspur,2,2,4
2018,FC Barcelona,Inter,2,0,2
2018,Tottenham Hotspur,PSV Eindhoven,2,1,3
2018,Inter,FC Barcelona,1,1,2
2018,PSV Eindhoven,FC Barcelona,1,2,3
2018,Tottenham Hotspur,Inter,1,0,1
2018,FC Barcelona,Tottenham Hotspur,1,1,2
2018,Inter,PSV Eindhoven,1,1,2
2018,Liverpool FC,Paris Saint-Germain,3,2,5
2018,Crvena Zvezda,SSC Napoli,0,0,0
2018,Paris Saint-Germain,Crvena Zvezda,6,1,7
2018,SSC Napoli,Liverpool FC,1,0,1
2018,Paris Saint-Germain,SSC Napoli,2,2,4
2018,Liverpool FC,Crvena Zvezda,4,0,4
2018,Crvena Zvezda,Liverpool FC,2,0,2
2018,SSC Napoli,Paris Saint-Germain,1,1,2
2018,Paris Saint-Germain,Liverpool FC,2,1,3
2018,SSC Napoli,Crvena Zvezda,3,1,4
2018,Liverpool FC,SSC Napoli,1,0,1
2018,Crvena Zvezda,Paris Saint-Germain,1,4,5
2018,FC Schalke 04,FC Porto,1,1,2
2018,Galatasaray,Lokomotiv Moskva,3,0,3
2018,Lokomotiv Moskva,FC Schalke 04,0,1,1
2018,FC Porto,Galatasaray,1,0,1
2018,Lokomotiv Moskva,FC Porto,1,3,4
2018,Galatasaray,FC Schalke 04,0,0,0
2018,FC Porto,Lokomotiv Moskva,4,1,5
2018,FC Schalke 04,Galatasaray,2,0,2
2018,Lokomotiv Moskva,Galatasaray,2,0,2
2018,FC Porto,FC Schalke 04,3,1,4
2018,FC Schalke 04,Lokomotiv Moskva,1,0,1
2018,Galatasaray,FC Porto,2,3,5
2018,AFC Ajax,AEK Athen,3,0,3
2018,SL Benfica,Bayern München,0,2,2
2018,Bayern München,AFC Ajax,1,1,2
2018,AEK Athen,SL Benfica,2,3,5
2018,AEK Athen,Bayern München,0,2,2
2018,AFC Ajax,SL Benfica,1,0,1
2018,SL Benfica,AFC Ajax,1,1,2
2018,Bayern München,AEK Athen,2,0,2
2018,AEK Athen,AFC Ajax,0,2,2
2018,Bayern München,SL Benfica,5,1,6
2018,AFC Ajax,Bayern München,3,3,6
2018,SL Benfica,AEK Athen,1,0,1
2018,Shakhtar Donetsk,1899 Hoffenheim,2,2,4
2018,Manchester City,Olympique Lyon,1,2,3
2018,1899 Hoffenheim,Manchester City,1,2,3
2018,Olympique Lyon,Shakhtar Donetsk,2,2,4
2018,Shakhtar Donetsk,Manchester City,0,3,3
2018,1899 Hoffenheim,Olympique Lyon,3,3,6
2018,Manchester City,Shakhtar Donetsk,6,0,6
2018,Olympique Lyon,1899 Hoffenheim,2,2,4
2018,Olympique Lyon,Manchester City,2,2,4
2018,1899 Hoffenheim,Shakhtar Donetsk,2,3,5
2018,Shakhtar Donetsk,Olympique Lyon,1,1,2
2018,Manchester City,1899 Hoffenheim,2,1,3
2018,Real Madrid,AS Roma,3,0,3
2018,Viktoria Plze?,CSKA Moskva,2,2,4
2018,CSKA Moskva,Real Madrid,1,0,1
2018,AS Roma,Viktoria Plze?,5,0,5
2018,AS Roma,CSKA Moskva,3,0,3
2018,Real Madrid,Viktoria Plze?,2,1,3
2018,CSKA Moskva,AS Roma,1,2,3
2018,Viktoria Plze?,Real Madrid,0,5,5
2018,CSKA Moskva,Viktoria Plze?,1,2,3
2018,AS Roma,Real Madrid,0,2,2
2018,Real Madrid,CSKA Moskva,0,3,3
2018,Viktoria Plze?,AS Roma,2,1,3
2018,Valencia CF,Juventus,0,2,2
2018,BSC Young Boys,Manchester United,0,3,3
2018,Juventus,BSC Young Boys,3,0,3
2018,Manchester United,Valencia CF,0,0,0
2018,BSC Young Boys,Valencia CF,1,1,2
2018,Manchester United,Juventus,0,1,1
2018,Valencia CF,BSC Young Boys,3,1,4
2018,Juventus,Manchester United,1,2,3
2018,Juventus,Valencia CF,1,0,1
2018,Manchester United,BSC Young Boys,1,0,1
2018,Valencia CF,Manchester United,2,1,3
2018,BSC Young Boys,Juventus,2,1,3
2018,Manchester United,Paris Saint-Germain,0,2,2
2018,AS Roma,FC Porto,2,1,3
2018,Tottenham Hotspur,Borussia Dortmund,3,0,3
2018,AFC Ajax,Real Madrid,1,2,3
2018,Olympique Lyon,FC Barcelona,0,0,0
2018,Liverpool FC,Bayern München,0,0,0
2018,FC Schalke 04,Manchester City,2,3,5
2018,Atlético Madrid,Juventus,2,0,2
2018,Borussia Dortmund,Tottenham Hotspur,0,1,1
2018,Real Madrid,AFC Ajax,1,4,5
2018,Paris Saint-Germain,Manchester United,1,3,4
2018,FC Porto,AS Roma,3,1,4
2018,Manchester City,FC Schalke 04,7,0,7
2018,Juventus,Atlético Madrid,3,0,3
2018,FC Barcelona,Olympique Lyon,5,1,6
2018,Bayern München,Liverpool FC,1,3,4
2018,Liverpool FC,FC Porto,2,0,2
2018,Tottenham Hotspur,Manchester City,1,0,1
2018,AFC Ajax,Juventus,1,1,2
2018,Manchester United,FC Barcelona,0,1,1
2018,Juventus,AFC Ajax,1,2,3
2018,FC Barcelona,Manchester United,3,0,3
2018,FC Porto,Liverpool FC,1,4,5
2018,Manchester City,Tottenham Hotspur,4,3,7
2018,Tottenham Hotspur,AFC Ajax,0,1,1
2018,FC Barcelona,Liverpool FC,3,0,3
2018,Liverpool FC,FC Barcelona,4,0,4
2018,AFC Ajax,Tottenham Hotspur,2,3,5
2018,Tottenham Hotspur,Liverpool FC,0,2,2
2019,Club Brugge KV,Galatasaray,0,0,0
2019,Paris Saint-Germain,Real Madrid,3,0,3
2019,Real Madrid,Club Brugge KV,2,2,4
2019,Galatasaray,Paris Saint-Germain,0,1,1
2019,Club Brugge KV,Paris Saint-Germain,0,5,5
2019,Galatasaray,Real Madrid,0,1,1
2019,Paris Saint-Germain,Club Brugge KV,1,0,1
2019,Real Madrid,Galatasaray,6,0,6
2019,Galatasaray,Club Brugge KV,1,1,2
2019,Real Madrid,Paris Saint-Germain,2,2,4
2019,Paris Saint-Germain,Galatasaray,5,0,5
2019,Club Brugge KV,Real Madrid,1,3,4
2019,Olympiakos Piraeus,Tottenham Hotspur,2,2,4
2019,Bayern München,Crvena Zvezda,3,0,3
2019,Tottenham Hotspur,Bayern München,2,7,9
2019,Crvena Zvezda,Olympiakos Piraeus,3,1,4
2019,Tottenham Hotspur,Crvena Zvezda,5,0,5
2019,Olympiakos Piraeus,Bayern München,2,3,5
2019,Bayern München,Olympiakos Piraeus,2,0,2
2019,Crvena Zvezda,Tottenham Hotspur,0,4,4
2019,Tottenham Hotspur,Olympiakos Piraeus,4,2,6
2019,Crvena Zvezda,Bayern München,0,6,6
2019,Bayern München,Tottenham Hotspur,3,1,4
2019,Olympiakos Piraeus,Crvena Zvezda,1,0,1
2019,Shakhtar Donetsk,Manchester City,0,3,3
2019,Dinamo Zagreb,Atalanta,4,0,4
2019,Atalanta,Shakhtar Donetsk,1,2,3
2019,Manchester City,Dinamo Zagreb,2,0,2
2019,Shakhtar Donetsk,Dinamo Zagreb,2,2,4
2019,Manchester City,Atalanta,5,1,6
2019,Dinamo Zagreb,Shakhtar Donetsk,3,3,6
2019,Atalanta,Manchester City,1,1,2
2019,Manchester City,Shakhtar Donetsk,1,1,2
2019,Atalanta,Dinamo Zagreb,2,0,2
2019,Shakhtar Donetsk,Atalanta,0,3,3
2019,Dinamo Zagreb,Manchester City,1,4,5
2019,Atlético Madrid,Juventus,2,2,4
2019,Bayer Leverkusen,Lokomotiv Moskva,1,2,3
2019,Juventus,Bayer Leverkusen,3,0,3
2019,Lokomotiv Moskva,Atlético Madrid,0,2,2
2019,Atlético Madrid,Bayer Leverkusen,1,0,1
2019,Juventus,Lokomotiv Moskva,2,1,3
2019,Lokomotiv Moskva,Juventus,1,2,3
2019,Bayer Leverkusen,Atlético Madrid,2,1,3
2019,Lokomotiv Moskva,Bayer Leverkusen,0,2,2
2019,Juventus,Atlético Madrid,1,0,1
2019,Atlético Madrid,Lokomotiv Moskva,2,0,2
2019,Bayer Leverkusen,Juventus,0,2,2
2019,SSC Napoli,Liverpool FC,2,0,2
2019,RB Salzburg,KRC Genk,6,2,8
2019,KRC Genk,SSC Napoli,0,0,0
2019,Liverpool FC,RB Salzburg,4,3,7
2019,RB Salzburg,SSC Napoli,2,3,5
2019,KRC Genk,Liverpool FC,1,4,5
2019,Liverpool FC,KRC Genk,2,1,3
2019,SSC Napoli,RB Salzburg,1,1,2
2019,Liverpool FC,SSC Napoli,1,1,2
2019,KRC Genk,RB Salzburg,1,4,5
2019,SSC Napoli,KRC Genk,4,0,4
2019,RB Salzburg,Liverpool FC,0,2,2
2019,Inter,Slavia Praha,1,1,2
2019,Borussia Dortmund,FC Barcelona,0,0,0
2019,Slavia Praha,Borussia Dortmund,0,2,2
2019,FC Barcelona,Inter,2,1,3
2019,Inter,Borussia Dortmund,2,0,2
2019,Slavia Praha,FC Barcelona,1,2,3
2019,FC Barcelona,Slavia Praha,0,0,0
2019,Borussia Dortmund,Inter,3,2,5
2019,FC Barcelona,Borussia Dortmund,3,1,4
2019,Slavia Praha,Inter,1,3,4
2019,Borussia Dortmund,Slavia Praha,2,1,3
2019,Inter,FC Barcelona,1,2,3
2019,Olympique Lyon,Zenit St. Petersburg,1,1,2
2019,SL Benfica,RB Leipzig,1,2,3
2019,Zenit St. Petersburg,SL Benfica,3,1,4
2019,RB Leipzig,Olympique Lyon,0,2,2
2019,RB Leipzig,Zenit St. Petersburg,2,1,3
2019,SL Benfica,Olympique Lyon,2,1,3
2019,Zenit St. Petersburg,RB Leipzig,0,2,2
2019,Olympique Lyon,SL Benfica,3,1,4
2019,Zenit St. Petersburg,Olympique Lyon,2,0,2
2019,RB Leipzig,SL Benfica,2,2,4
2019,SL Benfica,Zenit St. Petersburg,3,0,3
2019,Olympique Lyon,RB Leipzig,2,2,4
2019,Chelsea FC,Valencia CF,0,1,1
2019,AFC Ajax,Lille OSC,3,0,3
2019,Valencia CF,AFC Ajax,0,3,3
2019,Lille OSC,Chelsea FC,1,2,3
2019,AFC Ajax,Chelsea FC,0,1,1
2019,Lille OSC,Valencia CF,1,1,2
2019,Chelsea FC,AFC Ajax,4,4,8
2019,Valencia CF,Lille OSC,4,1,5
2019,Valencia CF,Chelsea FC,2,2,4
2019,Lille OSC,AFC Ajax,0,2,2
2019,Chelsea FC,Lille OSC,2,1,3
2019,AFC Ajax,Valencia CF,0,1,1
2019,Borussia Dortmund,Paris Saint-Germain,2,1,3
2019,Atlético Madrid,Liverpool FC,1,0,1
2019,Atalanta,Valencia CF,4,1,5
2019,Tottenham Hotspur,RB Leipzig,0,1,1
2019,Chelsea FC,Bayern München,0,3,3
2019,SSC Napoli,FC Barcelona,1,1,2
2019,Real Madrid,Manchester City,1,2,3
2019,Olympique Lyon,Juventus,1,0,1
2019,Valencia CF,Atalanta,3,4,7
2019,RB Leipzig,Tottenham Hotspur,3,0,3
2019,Paris Saint-Germain,Borussia Dortmund,2,0,2
2019,Liverpool FC,Atlético Madrid,2,3,5
2019,Manchester City,Real Madrid,2,1,3
2019,Juventus,Olympique Lyon,2,1,3
2019,Bayern München,Chelsea FC,4,1,5
2019,FC Barcelona,SSC Napoli,3,1,4
2019,Atalanta,Paris Saint-Germain,1,2,3
2019,RB Leipzig,Atlético Madrid,2,1,3
2019,FC Barcelona,Bayern München,2,8,10
2019,Manchester City,Olympique Lyon,1,3,4
2019,RB Leipzig,Paris Saint-Germain,0,3,3
2019,Olympique Lyon,Bayern München,0,3,3
2019,Paris Saint-Germain,Bayern München,0,1,1
2020,RB Salzburg,Lokomotiv Moskva,2,2,4
2020,Bayern München,Atlético Madrid,4,0,4
2020,Lokomotiv Moskva,Bayern München,1,2,3
2020,Atlético Madrid,RB Salzburg,3,2,5
2020,Lokomotiv Moskva,Atlético Madrid,1,1,2
2020,RB Salzburg,Bayern München,2,6,8
2020,Atlético Madrid,Lokomotiv Moskva,0,0,0
2020,Bayern München,RB Salzburg,3,1,4
2020,Lokomotiv Moskva,RB Salzburg,1,3,4
2020,Atlético Madrid,Bayern München,1,1,2
2020,Bayern München,Lokomotiv Moskva,2,0,2
2020,RB Salzburg,Atlético Madrid,0,2,2
2020,Real Madrid,Shakhtar Donetsk,2,3,5
2020,Inter,Bor. Mönchengladbach,2,2,4
2020,Shakhtar Donetsk,Inter,0,0,0
2020,Bor. Mönchengladbach,Real Madrid,2,2,4
2020,Shakhtar Donetsk,Bor. Mönchengladbach,0,6,6
2020,Real Madrid,Inter,3,2,5
2020,Bor. Mönchengladbach,Shakhtar Donetsk,4,0,4
2020,Inter,Real Madrid,0,2,2
2020,Shakhtar Donetsk,Real Madrid,2,0,2
2020,Bor. Mönchengladbach,Inter,2,3,5
2020,Inter,Shakhtar Donetsk,0,0,0
2020,Real Madrid,Bor. Mönchengladbach,2,0,2
2020,Manchester City,FC Porto,3,1,4
2020,Olympiakos Piraeus,Olympique Marseille,1,0,1
2020,FC Porto,Olympiakos Piraeus,2,0,2
2020,Olympique Marseille,Manchester City,0,3,3
2020,FC Porto,Olympique Marseille,3,0,3
2020,Manchester City,Olympiakos Piraeus,3,0,3
2020,Olympiakos Piraeus,Manchester City,0,1,1
2020,Olympique Marseille,FC Porto,0,2,2
2020,FC Porto,Manchester City,0,0,0
2020,Olympique Marseille,Olympiakos Piraeus,2,1,3
2020,Manchester City,Olympique Marseille,3,0,3
2020,Olympiakos Piraeus,FC Porto,0,2,2
2020,AFC Ajax,Liverpool FC,0,1,1
2020,FC Midtjylland,Atalanta,0,4,4
2020,Atalanta,AFC Ajax,2,2,4
2020,Liverpool FC,FC Midtjylland,2,0,2
2020,Atalanta,Liverpool FC,0,5,5
2020,FC Midtjylland,AFC Ajax,1,2,3
2020,AFC Ajax,FC Midtjylland,3,1,4
2020,Liverpool FC,Atalanta,0,2,2
2020,Atalanta,FC Midtjylland,1,1,2
2020,Liverpool FC,AFC Ajax,1,0,1
2020,AFC Ajax,Atalanta,0,1,1
2020,FC Midtjylland,Liverpool FC,1,1,2
2020,Chelsea FC,Sevilla FC,0,0,0
2020,Stade Rennes,FK Krasnodar,1,1,2
2020,FK Krasnodar,Chelsea FC,0,4,4
2020,Sevilla FC,Stade Rennes,1,0,1
2020,Chelsea FC,Stade Rennes,3,0,3
2020,Sevilla FC,FK Krasnodar,3,2,5
